IATA Code,Airline
3M,Silver Airways
9K,Cape Air
AA,American Airlines
AQ,Aloha Airlines
AS,Alaska Airlines
B6,JetBlue Airways
CO,Continental Airlines
DH,Discovery Airways
DL,Delta Air Lines
E9,Boston-Maine Airways
F9,Frontier Airlines
FL,AirTran Airways
G4,Allegiant Air
HA,Hawaiian Airlines
HP,America West Airlines
JI,Midway Airlines
KS,Peninsula Airways
LC,Legend Airlines
MX,Breeze Airways
N7,National Airlines
NJ,Vanguard Airlines
NK,Spirit Airlines
NW,Northwest Airlines
OO,Skywest Airlines
P9,Asia Pacific Airlines
PN,Pan American Airways
QX,Horizon Air
RP,Chautauqua Airlines
RU,Britt Airways
SX,Skybus Airlines
SY,Sun Country Airlines
TW,Trans World Airlines
TZ,ATA Airlines
U5,USA3000 Airlines
UA,United Airlines
US,US Airways
VX,Virgin America
WN,Southwest Airlines
XP,Avelo Airlines
YV,Mesa Airlines
YX,Midwest Airlines
YY,Unknown
ZV,Air Midwest
